code,name
1000,Mex Petty Cash Fund
1490,Construction in Progress
5040,Unallocated Expenses - Wire & Cash Transfers
5000,Ask My Accountant
5500,Advertising & Marketing
5501,Advertising & Marketing:Contractor
5502,Advertising & Marketing:Printing
5660,Bank Charges & Merchant Fees
5230,Car & Truck
5231,Car & Truck:Fuel for PM Vehicles
5232,Car & Truck:Vehicle Maintenance & Repairs
5233,Car & Truck:Vehicle-Registrations & Fees
5470,Contractors
5450,Equipment & Tools
5560,Food & Program Orphanage
5330,Government Fees
5445,Homebuilding
5446,Homebuilding:Purchases-Homebuilding Construction Materials
5447,Homebuilding:Purchases-Homebuilding Tools & Supplies
5448,Homebuilding:Purchases-Other Homebuilding Expenses
5160,Insurance
5161,Insurance:Health Insurance
5162,Insurance:Liability & Other Insurances
5163,Insurance:Vehicle Insurance
5590,Intern Expenses from Fundraising
5595,Intern Stipend
5440,Job Supplies
5300,Legal & Professional Services
5570,Meals & Entertainment
5170,"Medical-General, Not Psychology"
5175,Medical-Psychology
5471,Mex Contractors
5112,Mexico Wages
5140,Office Supplies & Software
5900,Orphanage Educational Expenses
5902,Orphanage Educational Expenses:Supplies & Incidentals
5901,Orphanage Educational Expenses:Tuition
5141,Other Business Expenses
5565,Program & Event Expense-Orphanage
5442,Purchases
5390,Registration Fees
5460,Reimbursable Trip Expenses
5120,Rent & Lease
5240,Repairs & Maintenance
5362,Taxes & Licenses
5580,Travel
5581,Travel-Mileage Reimbursements
5260,Utilities
7205,Restricted Income-Mexican Church Planting
7210,Restricted Expense-Mexican Church Planting
